2019-10-02 02:34:14.673289 W | etcdserver: failed to reach the peerURL(https://etcd-2.openshift4poc.example.local:2380) of member 79b8671202ba0d33 (Get https://etcd-2.openshift4poc.example.local:2380/version: dial tcp 172.16.1.13:2380: connect: connection refused)
2019-10-02 02:34:14.673328 W | etcdserver: cannot get the version of member 79b8671202ba0d33 (Get https://etcd-2.openshift4poc.example.local:2380/version: dial tcp 172.16.1.13:2380: connect: connection refused)
2019-10-02 02:34:16.028560 W | rafthttp: health check for peer 79b8671202ba0d33 could not connect: dial tcp 172.16.1.13:2380: connect: connection refused (prober "ROUND_TRIPPER_RAFT_MESSAGE")
2019-10-02 02:34:16.028757 W | rafthttp: health check for peer 79b8671202ba0d33 could not connect: dial tcp 172.16.1.13:2380: connect: connection refused (prober "ROUND_TRIPPER_SNAPSHOT")
2019-10-02 02:34:18.675259 W | etcdserver: failed to reach the peerURL(https://etcd-2.openshift4poc.example.local:2380) of member 79b8671202ba0d33 (Get https://etcd-2.openshift4poc.example.local:2380/version: dial tcp 172.16.1.13:2380: connect: connection refused)
2019-10-02 02:34:18.675292 W | etcdserver: cannot get the version of member 79b8671202ba0d33 (Get https://etcd-2.openshift4poc.example.local:2380/version: dial tcp 172.16.1.13:2380: connect: connection refused)
2019-10-02 02:34:21.028902 W | rafthttp: health check for peer 79b8671202ba0d33 could not connect: dial tcp 172.16.1.13:2380: connect: connection refused (prober "ROUND_TRIPPER_RAFT_MESSAGE")
2019-10-02 02:34:21.029139 W | rafthttp: health check for peer 79b8671202ba0d33 could not connect: dial tcp 172.16.1.13:2380: connect: connection refused (prober "ROUND_TRIPPER_SNAPSHOT")
2019-10-02 02:34:22.679744 W | etcdserver: failed to reach the peerURL(https://etcd-2.openshift4poc.example.local:2380) of member 79b8671202ba0d33 (Get https://etcd-2.openshift4poc.example.local:2380/version: dial tcp 172.16.1.13:2380: connect: connection refused)
2019-10-02 02:34:22.679828 W | etcdserver: cannot get the version of member 79b8671202ba0d33 (Get https://etcd-2.openshift4poc.example.local:2380/version: dial tcp 172.16.1.13:2380: connect: connection refused)
2019-10-02 02:34:26.029336 W | rafthttp: health check for peer 79b8671202ba0d33 could not connect: dial tcp 172.16.1.13:2380: connect: connection refused (prober "ROUND_TRIPPER_SNAPSHOT")
2019-10-02 02:34:26.029805 W | rafthttp: health check for peer 79b8671202ba0d33 could not connect: dial tcp 172.16.1.13:2380: connect: connection refused (prober "ROUND_TRIPPER_RAFT_MESSAGE")
2019-10-02 02:34:26.685336 W | etcdserver: failed to reach the peerURL(https://etcd-2.openshift4poc.example.local:2380) of member 79b8671202ba0d33 (Get https://etcd-2.openshift4poc.example.local:2380/version: dial tcp 172.16.1.13:2380: connect: connection refused)
2019-10-02 02:34:26.685418 W | etcdserver: cannot get the version of member 79b8671202ba0d33 (Get https://etcd-2.openshift4poc.example.local:2380/version: dial tcp 172.16.1.13:2380: connect: connection refused)
2019-10-02 02:34:30.690094 W | etcdserver: failed to reach the peerURL(https://etcd-2.openshift4poc.example.local:2380) of member 79b8671202ba0d33 (Get https://etcd-2.openshift4poc.example.local:2380/version: dial tcp 172.16.1.13:2380: connect: connection refused)
2019-10-02 02:34:30.690179 W | etcdserver: cannot get the version of member 79b8671202ba0d33 (Get https://etcd-2.openshift4poc.example.local:2380/version: dial tcp 172.16.1.13:2380: connect: connection refused)
2019-10-02 02:34:31.029719 W | rafthttp: health check for peer 79b8671202ba0d33 could not connect: dial tcp 172.16.1.13:2380: connect: connection refused (prober "ROUND_TRIPPER_SNAPSHOT")
2019-10-02 02:34:31.030617 W | rafthttp: health check for peer 79b8671202ba0d33 could not connect: dial tcp 172.16.1.13:2380: connect: connection refused (prober "ROUND_TRIPPER_RAFT_MESSAGE")
2019-10-02 02:34:34.693856 W | etcdserver: failed to reach the peerURL(https://etcd-2.openshift4poc.example.local:2380) of member 79b8671202ba0d33 (Get https://etcd-2.openshift4poc.example.local:2380/version: dial tcp 172.16.1.13:2380: connect: connection refused)
2019-10-02 02:34:34.694071 W | etcdserver: cannot get the version of member 79b8671202ba0d33 (Get https://etcd-2.openshift4poc.example.local:2380/version: dial tcp 172.16.1.13:2380: connect: connection refused)
2019-10-02 02:34:36.030086 W | rafthttp: health check for peer 79b8671202ba0d33 could not connect: dial tcp 172.16.1.13:2380: connect: connection refused (prober "ROUND_TRIPPER_SNAPSHOT")
2019-10-02 02:34:36.030910 W | rafthttp: health check for peer 79b8671202ba0d33 could not connect: dial tcp 172.16.1.13:2380: connect: connection refused (prober "ROUND_TRIPPER_RAFT_MESSAGE")
2019-10-02 02:34:38.698257 W | etcdserver: failed to reach the peerURL(https://etcd-2.openshift4poc.example.local:2380) of member 79b8671202ba0d33 (Get https://etcd-2.openshift4poc.example.local:2380/version: dial tcp 172.16.1.13:2380: connect: connection refused)
2019-10-02 02:34:38.698487 W | etcdserver: cannot get the version of member 79b8671202ba0d33 (Get https://etcd-2.openshift4poc.example.local:2380/version: dial tcp 172.16.1.13:2380: connect: connection refused)
2019-10-02 02:34:41.031335 W | rafthttp: health check for peer 79b8671202ba0d33 could not connect: dial tcp 172.16.1.13:2380: connect: connection refused (prober "ROUND_TRIPPER_RAFT_MESSAGE")
2019-10-02 02:34:41.031519 W | rafthttp: health check for peer 79b8671202ba0d33 could not connect: dial tcp 172.16.1.13:2380: connect: connection refused (prober "ROUND_TRIPPER_SNAPSHOT")
2019-10-02 02:34:42.703180 W | etcdserver: failed to reach the peerURL(https://etcd-2.openshift4poc.example.local:2380) of member 79b8671202ba0d33 (Get https://etcd-2.openshift4poc.example.local:2380/version: dial tcp 172.16.1.13:2380: connect: connection refused)
2019-10-02 02:34:42.703257 W | etcdserver: cannot get the version of member 79b8671202ba0d33 (Get https://etcd-2.openshift4poc.example.local:2380/version: dial tcp 172.16.1.13:2380: connect: connection refused)
2019-10-02 02:34:46.032295 W | rafthttp: health check for peer 79b8671202ba0d33 could not connect: dial tcp 172.16.1.13:2380: connect: connection refused (prober "ROUND_TRIPPER_RAFT_MESSAGE")
2019-10-02 02:34:46.032510 W | rafthttp: health check for peer 79b8671202ba0d33 could not connect: dial tcp 172.16.1.13:2380: connect: connection refused (prober "ROUND_TRIPPER_SNAPSHOT")
2019-10-02 02:34:46.707956 W | etcdserver: failed to reach the peerURL(https://etcd-2.openshift4poc.example.local:2380) of member 79b8671202ba0d33 (Get https://etcd-2.openshift4poc.example.local:2380/version: dial tcp 172.16.1.13:2380: connect: connection refused)
2019-10-02 02:34:46.708100 W | etcdserver: cannot get the version of member 79b8671202ba0d33 (Get https://etcd-2.openshift4poc.example.local:2380/version: dial tcp 172.16.1.13:2380: connect: connection refused)
2019-10-02 02:34:50.711900 W | etcdserver: failed to reach the peerURL(https://etcd-2.openshift4poc.example.local:2380) of member 79b8671202ba0d33 (Get https://etcd-2.openshift4poc.example.local:2380/version: dial tcp 172.16.1.13:2380: connect: connection refused)
2019-10-02 02:34:50.711981 W | etcdserver: cannot get the version of member 79b8671202ba0d33 (Get https://etcd-2.openshift4poc.example.local:2380/version: dial tcp 172.16.1.13:2380: connect: connection refused)
2019-10-02 02:34:51.032785 W | rafthttp: health check for peer 79b8671202ba0d33 could not connect: dial tcp 172.16.1.13:2380: connect: connection refused (prober "ROUND_TRIPPER_RAFT_MESSAGE")
2019-10-02 02:34:51.032855 W | rafthttp: health check for peer 79b8671202ba0d33 could not connect: dial tcp 172.16.1.13:2380: connect: connection refused (prober "ROUND_TRIPPER_SNAPSHOT")
2019-10-02 02:34:54.714470 W | etcdserver: failed to reach the peerURL(https://etcd-2.openshift4poc.example.local:2380) of member 79b8671202ba0d33 (Get https://etcd-2.openshift4poc.example.local:2380/version: dial tcp 172.16.1.13:2380: connect: connection refused)
2019-10-02 02:34:54.714511 W | etcdserver: cannot get the version of member 79b8671202ba0d33 (Get https://etcd-2.openshift4poc.example.local:2380/version: dial tcp 172.16.1.13:2380: connect: connection refused)
2019-10-02 02:34:56.033033 W | rafthttp: health check for peer 79b8671202ba0d33 could not connect: dial tcp 172.16.1.13:2380: connect: connection refused (prober "ROUND_TRIPPER_SNAPSHOT")
2019-10-02 02:34:56.033145 W | rafthttp: health check for peer 79b8671202ba0d33 could not connect: dial tcp 172.16.1.13:2380: connect: connection refused (prober "ROUND_TRIPPER_RAFT_MESSAGE")
2019-10-02 02:34:58.717944 W | etcdserver: failed to reach the peerURL(https://etcd-2.openshift4poc.example.local:2380) of member 79b8671202ba0d33 (Get https://etcd-2.openshift4poc.example.local:2380/version: dial tcp 172.16.1.13:2380: connect: connection refused)
2019-10-02 02:34:58.718006 W | etcdserver: cannot get the version of member 79b8671202ba0d33 (Get https://etcd-2.openshift4poc.example.local:2380/version: dial tcp 172.16.1.13:2380: connect: connection refused)
2019-10-02 02:35:01.033351 W | rafthttp: health check for peer 79b8671202ba0d33 could not connect: dial tcp 172.16.1.13:2380: connect: connection refused (prober "ROUND_TRIPPER_SNAPSHOT")
2019-10-02 02:35:01.033575 W | rafthttp: health check for peer 79b8671202ba0d33 could not connect: dial tcp 172.16.1.13:2380: connect: connection refused (prober "ROUND_TRIPPER_RAFT_MESSAGE")
2019-10-02 02:35:02.720985 W | etcdserver: failed to reach the peerURL(https://etcd-2.openshift4poc.example.local:2380) of member 79b8671202ba0d33 (Get https://etcd-2.openshift4poc.example.local:2380/version: dial tcp 172.16.1.13:2380: connect: connection refused)
2019-10-02 02:35:02.721075 W | etcdserver: cannot get the version of member 79b8671202ba0d33 (Get https://etcd-2.openshift4poc.example.local:2380/version: dial tcp 172.16.1.13:2380: connect: connection refused)
2019-10-02 02:35:06.033747 W | rafthttp: health check for peer 79b8671202ba0d33 could not connect: dial tcp 172.16.1.13:2380: connect: connection refused (prober "ROUND_TRIPPER_SNAPSHOT")
2019-10-02 02:35:06.033873 W | rafthttp: health check for peer 79b8671202ba0d33 could not connect: dial tcp 172.16.1.13:2380: connect: connection refused (prober "ROUND_TRIPPER_RAFT_MESSAGE")
2019-10-02 02:35:06.724651 W | etcdserver: failed to reach the peerURL(https://etcd-2.openshift4poc.example.local:2380) of member 79b8671202ba0d33 (Get https://etcd-2.openshift4poc.example.local:2380/version: dial tcp 172.16.1.13:2380: connect: connection refused)
2019-10-02 02:35:06.724722 W | etcdserver: cannot get the version of member 79b8671202ba0d33 (Get https://etcd-2.openshift4poc.example.local:2380/version: dial tcp 172.16.1.13:2380: connect: connection refused)
2019-10-02 02:35:10.728155 W | etcdserver: failed to reach the peerURL(https://etcd-2.openshift4poc.example.local:2380) of member 79b8671202ba0d33 (Get https://etcd-2.openshift4poc.example.local:2380/version: dial tcp 172.16.1.13:2380: connect: connection refused)
2019-10-02 02:35:10.728370 W | etcdserver: cannot get the version of member 79b8671202ba0d33 (Get https://etcd-2.openshift4poc.example.local:2380/version: dial tcp 172.16.1.13:2380: connect: connection refused)
2019-10-02 02:35:11.034134 W | rafthttp: health check for peer 79b8671202ba0d33 could not connect: dial tcp 172.16.1.13:2380: connect: connection refused (prober "ROUND_TRIPPER_SNAPSHOT")
2019-10-02 02:35:11.034229 W | rafthttp: health check for peer 79b8671202ba0d33 could not connect: dial tcp 172.16.1.13:2380: connect: connection refused (prober "ROUND_TRIPPER_RAFT_MESSAGE")
